,Precision,Recall,Zeroed,NmrNeighbors,NmrRecommendations
644,0.11,0.29,36,26,89
645,0.1,0.3,34,26,91
646,0.1,0.3,34,26,93
647,0.1,0.31,31,26,95
648,0.1,0.31,30,26,97
649,0.1,0.32,29,26,99
650,0.29,0.01,670,28,1
651,0.24,0.03,458,28,3
652,0.22,0.04,371,28,5
653,0.2,0.05,302,28,7
654,0.19,0.06,266,28,9
655,0.18,0.07,241,28,11
656,0.17,0.08,221,28,13
657,0.17,0.08,206,28,15
658,0.16,0.09,194,28,17
659,0.15,0.1,185,28,19
660,0.15,0.1,177,28,21
661,0.15,0.11,170,28,23
662,0.14,0.11,166,28,25
663,0.14,0.12,158,28,27
664,0.13,0.12,154,28,29
665,0.13,0.13,151,28,31
666,0.13,0.13,146,28,33
667,0.13,0.14,146,28,35
668,0.12,0.14,138,28,37
669,0.12,0.15,132,28,39
670,0.12,0.15,130,28,41
671,0.12,0.16,121,28,43
672,0.12,0.16,116,28,45
673,0.12,0.17,110,28,47
674,0.12,0.18,108,28,49
675,0.12,0.18,104,28,51
676,0.12,0.19,102,28,53
677,0.11,0.19,93,28,55
678,0.11,0.2,90,28,57
679,0.11,0.21,87,28,59
680,0.11,0.21,84,28,61
681,0.11,0.22,81,28,63
682,0.11,0.22,72,28,65
683,0.11,0.23,69,28,67
684,0.11,0.24,65,28,69
685,0.11,0.24,64,28,71
686,0.11,0.25,62,28,73
687,0.11,0.25,60,28,75
688,0.11,0.26,58,28,77
689,0.11,0.27,52,28,79
690,0.11,0.27,50,28,81
691,0.11,0.28,47,28,83
692,0.11,0.28,41,28,85
693,0.11,0.29,40,28,87
694,0.11,0.29,37,28,89
695,0.11,0.3,37,28,91
696,0.1,0.3,35,28,93
697,0.1,0.31,35,28,95
698,0.1,0.31,34,28,97
699,0.1,0.32,31,28,99
700,0.3,0.01,663,30,1
701,0.24,0.03,468,30,3
702,0.22,0.04,356,30,5
703,0.2,0.05,300,30,7
704,0.19,0.06,261,30,9
705,0.18,0.07,241,30,11
706,0.17,0.08,226,30,13
707,0.16,0.08,211,30,15
708,0.16,0.09,201,30,17
709,0.15,0.09,192,30,19
710,0.15,0.1,185,30,21
711,0.14,0.11,175,30,23
712,0.14,0.11,170,30,25
713,0.14,0.12,165,30,27
714,0.13,0.12,158,30,29
715,0.13,0.13,155,30,31
716,0.13,0.13,149,30,33
717,0.12,0.14,144,30,35
718,0.12,0.14,140,30,37
719,0.12,0.15,135,30,39
720,0.12,0.15,131,30,41
721,0.12,0.16,128,30,43
722,0.12,0.16,125,30,45
723,0.11,0.17,122,30,47
724,0.11,0.17,117,30,49
725,0.11,0.18,110,30,51
726,0.11,0.18,103,30,53
727,0.11,0.19,97,30,55
728,0.11,0.19,95,30,57
729,0.11,0.2,92,30,59
730,0.11,0.21,86,30,61
731,0.11,0.21,84,30,63
732,0.11,0.22,75,30,65
733,0.11,0.23,70,30,67
734,0.11,0.23,70,30,69
735,0.11,0.24,70,30,71
736,0.11,0.24,65,30,73
737,0.11,0.25,64,30,75
738,0.11,0.25,61,30,77
739,0.11,0.26,55,30,79
740,0.11,0.27,54,30,81
741,0.11,0.27,50,30,83
742,0.11,0.28,46,30,85
743,0.11,0.29,43,30,87
744,0.1,0.29,40,30,89
745,0.1,0.3,40,30,91
746,0.1,0.3,38,30,93
747,0.1,0.3,38,30,95
748,0.1,0.31,36,30,97
749,0.1,0.31,32,30,99
750,0.27,0.01,690,32,1
751,0.25,0.03,459,32,3
752,0.22,0.04,367,32,5
